"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"161243674",3,5,6,1,1,2,4,4,1,1,1,2,2,2,2,2,4,3,1,4,2,1,1,2,2,1,2,2,1,1
"161243776",2,3,2,1,1,2,4,3,1,1,2,2,2,1,2,2,3,1,2,2,2,1,1,2,2,1,2,1,1,2
"161245398",3,2,3,2,2,3,3,3,2,3,2,1,2,1,2,1,3,4,2,3,1,1,1,1,1,1,1,1,2,2
"161247150",5,5,2,2,2,4,4,3,3,4,2,1,1,1,2,2,2,4,1,4,1,2,1,2,1,2,1,1,2,1
"161248550",2,2,1,1,1,1,2,4,1,1,1,2,2,2,2,2,4,1,1,1,2,2,1,2,2,1,2,2,1,1
"161248868",2,2,2,1,3,1,2,2,1,3,1,2,2,1,2,2,2,3,2,2,2,1,,2,1,,2,,1,1
"161250555",2,2,6,1,1,1,4,3,1,1,1,2,2,1,2,2,4,1,1,2,2,2,1,2,2,2,2,2,1,1
"161251748",2,2,2,1,1,2,4,2,1,1,1,2,2,1,2,2,4,1,1,2,2,2,2,2,2,1,2,2,1,1
"161251912",4,4,5,1,2,3,4,2,3,1,1,2,2,1,1,1,4,1,1,3,2,2,1,2,1,2,2,1,1,1
"161253625",3,5,6,2,2,2,3,3,2,2,1,1,2,1,1,2,4,3,1,4,2,1,1,2,2,2,2,1,1,1
"161253769",4,5,3,3,3,4,3,3,3,2,2,1,1,1,1,1,1,5,2,4,2,2,1,2,1,2,2,2,2,2
"161261390",2,3,2,1,1,1,2,2,3,3,2,1,1,1,1,1,4,3,1,3,2,1,1,2,2,1,2,,1,1
"161261399",5,3,4,2,2,4,3,4,3,3,2,1,1,2,2,2,2,4,2,4,1,2,1,1,1,1,1,1,2,1
"161265135",4,4,3,2,3,4,4,4,3,3,2,1,1,1,2,2,2,4,2,4,2,2,1,2,2,2,2,1,2,1
"161281498",1,2,1,1,1,1,4,1,1,1,1,2,2,2,2,2,2,3,1,1,2,1,1,2,1,1,2,1,1,1
"161281530",3,4,2,1,1,1,4,3,1,2,1,2,2,2,2,2,4,2,1,1,2,2,2,2,2,2,2,,1,1
"161283326",4,5,4,1,1,1,3,3,1,3,1,2,2,2,2,2,4,4,2,2,2,1,2,2,,,1,2,1,2
"161283647",3,2,4,3,3,3,3,3,3,2,1,2,2,2,2,2,4,3,1,3,2,2,1,2,2,2,2,1,2,1
"161297472",4,3,3,2,2,3,3,3,2,1,2,1,2,1,1,2,2,3,2,3,1,2,1,2,2,2,2,1,1,1
"161297687",5,4,4,2,2,4,3,2,1,2,1,2,2,2,2,2,4,4,2,3,2,1,1,1,1,2,2,1,2,1
"161298922",6,3,6,3,3,2,3,3,1,3,2,2,1,2,2,1,2,3,1,2,2,1,2,2,,2,1,2,,2
